,junct,Unnamed: 0,y,x,1517_masked,1517_all,seward2_hsp_elev,seward_hsp__dinf_area,slope_15m,aspect_15m,1519_all,1519_masked,aspect_40m,seward_hsp__tan_curv_LW,slope_40m,Outlet Elev,1519_all_zscore,1519_masked_zscore,1517_all_zscore,1517_masked_zscore,Area,area_km2,max_disp_zone
118,2208,73251553.15710072,7218721.310560858,447501.41378221195,0.007853534034297,0.007853534034297,239.40299742707327,3465.8818006304405,0.126175101038195,229.05008648454108,0.009472268940138,0.009364249231155,229.3203667255621,-7.4235819501e-05,0.125131489405545,123.86304500000001,-0.059819529375196,-0.063098947047231,0.249522697655731,0.251983511451848,5166036.0,5.166036,fluvial
119,2977,84594365.12350121,7216850.371888948,444252.0723245726,0.003233751364689,0.003233751364689,168.76183953513038,1511.8262356335752,0.13254515495033,246.25618654985365,0.006047222518411,0.006047222518411,246.35050612157775,5.227865042e-06,0.129868614638622,80.586845,-0.070785797757674,-0.088092781847812,0.117605557524345,0.115095225982895,578124.0,0.578124,hillslopes
120,2417,73541675.19169194,7218673.303123085,445559.28508834593,0.010799000280773,0.010799000280773,275.4900600129943,1778.4485181319985,0.160096774974192,127.51778382145926,0.010736673141824,0.007451057941544,127.38605014291458,3.055821133e-05,0.158054521494703,122.68013,-0.506697252989851,-0.775141565846168,-0.198653640673412,-0.190693345830602,1213760.0,1.21376,watertracks
121,2589,76271404.98698878,7218221.971319161,431718.0895061619,0.006081829309056,0.006081829309056,257.0014962973329,2999.4772749684375,0.070093453556762,121.38787387275538,0.014245661917273,0.014245661917273,121.2529417939018,-4.0162366989e-05,0.068609882966116,190.3961,-0.010122822751023,-0.001951820114236,-0.538783062433086,-0.53818691328238,2275260.0,2.27526,fluvial
122,2515,76176519.05570123,7218238.493884619,442315.37823917746,0.016485060194551,0.016372694718141,149.92600286546997,1956.3373846827872,0.111264422226486,47.040132477125695,0.013698500145462,0.013909018490977,33.68564350024338,8.8441588359e-05,0.109289192553029,60.595997,-0.001879019465524,-0.042537021042469,0.277241749202767,0.319344559057905,237984.0,0.237984,indeterminate
123,2406,74997468.88738325,7218432.926985875,442105.2605176599,0.009923883688982,0.013937547576554,139.08167309485518,782.7633691561421,0.117894860923809,80.34495049484185,0.012438854029772,0.008770718753935,64.4099607309799,0.000124903562024,0.115264455667532,63.07328999999999,-0.081150732445164,-0.400189913086782,0.137467660955905,-0.198114852809494,252680.0,0.25268,indeterminate
124,2358,73930917.15411761,7218608.282870979,435542.6126437201,0.010502790498692,0.010502790498692,203.48463336740173,1920.8058369668906,0.052342320590186,271.2320422850089,0.012174888545565,0.012174888545565,276.94664125647796,4.1398202366e-05,0.050608089737218,157.03944,0.453546733405481,0.437564084046858,0.89420882220005,0.895613391000468,938500.0,0.9385,indeterminate
125,2680,77850199.41938311,7217962.721333056,445382.3727894027,0.012328307589548,0.012328307589548,256.27485862271004,1352.3312942221792,0.149202273588887,117.93990710598595,0.018383240898856,0.01693940246459,117.85359643414593,-5.91543499e-06,0.14875882125318,120.05981,0.040733279439832,-0.062518941385471,-0.202520088488935,-0.195804448843589,470100.0,0.4701,indeterminate
126,2309,72009252.37765281,7218926.577978382,452177.82719609025,0.011376051807016,0.011376051807016,81.26868322966521,1403.9146024068702,0.092247169788589,86.08111109953202,0.007794183934629,0.007794183934629,84.98912797799544,-0.000124856335805,0.088357888354315,24.428844,-0.531028350525624,-0.629426981377344,-0.258579664529692,-0.243560100235339,680928.0,0.680928,indeterminate
127,2400,74403800.8858403,7218531.655831312,452053.96604721266,0.010885221559525,0.010885221559525,110.57104871548042,1655.2573163947827,0.122026719239323,69.16087119991867,0.006996925298742,0.006996925298742,61.50991198766427,-0.000180230872993,0.117224197411756,24.666399,-0.611513697068692,-0.70684266169541,-0.313815908943295,-0.300820214366212,488820.0,0.48882,indeterminate
128,2185,73771861.33542663,7218635.774853596,450826.2484630208,0.019642562507416,0.019642562507416,230.00795752146263,4828.914664142199,0.189358062975706,75.6664312421977,0.013232283671673,0.013232283671673,69.28227954018368,1.8783302765e-05,0.184957416645202,25.646862,-0.221903165799385,-0.23515615839156,0.384487637937953,0.427363980847072,2925540.0,2.92554,indeterminate
129,2604,77793708.13424262,7217972.570431637,451839.82099065854,0.010773049654888,0.010773049654888,164.0981392363403,2398.595454711146,0.181765961284017,66.29435604300673,0.006735996437693,0.006735996437693,66.33280794543114,-5.806947256e-05,0.17845980242088,24.524397000000004,-0.744685261525616,-0.784248475589671,-0.397977034689411,-0.387289307385304,940808.0,0.940808,indeterminate
130,2673,78235886.15789782,7217898.354925017,436184.4195204732,0.019196363282906,0.019196363282906,213.814823935391,1524.0418247745497,0.072677038384272,72.50969613555506,0.017886881584296,0.021424648804171,72.58895934236587,6.7080854768e-05,0.071271102540069,146.93085,0.071694811249297,0.392550261490702,0.324870279948904,0.36119050809258,477828.0,0.477828,indeterminate
131,2752,81628866.53228076,7217338.286792227,430198.92195131804,0.010303204249121,0.010303204249121,323.66471008456995,859.3222939580578,0.108011355980915,110.37554917134221,0.014305132523846,0.014305132523846,114.97544891636542,5.7176176947e-05,0.103554356925628,266.10986,0.075518405640424,0.042389620277742,-0.217015734434119,-0.204177856398107,228648.0,0.228648,watertracks
