,dInf_min,dInf_max,dInf_mean,dInf_count,slope_min,slope_max,slope_mean,slope_count,area (m2),bin_dinf,bin_slope
328,363.0,449.0,404.25,4,17.839441299438477,19.609458923339844,18.724449157714844,2,1.6248539184325437,21,27
329,328.0,453.0,390.5,2,17.839441299438477,17.839441299438477,17.839441299438477,1,0.5218289119102809,21,23
330,139.0,152.0,145.5,2,16.95996856689453,17.596118927001953,17.278043746948242,2,0.3434584992735669,15,22
331,150.0,153.0,151.75,4,16.830904006958008,16.95996856689453,16.895435333251953,2,0.6942437897741243,15,21
332,1368.0,1735.0,1590.4,5,12.1979341506958,12.1979341506958,12.1979341506958,1,1.5800058857401125,29,11
333,1149.0,1269.0,1209.0,2,12.447319030761719,12.447319030761719,12.447319030761719,1,0.43616594272305725,27,11
334,1335.0,1940.0,1611.5,4,12.447319030761719,12.447319030761719,12.447319030761719,1,0.2968359026357451,29,11
335,3007.0,3064.0,3054.3333333333335,6,18.207067489624023,18.726285934448242,18.466676712036133,2,2.947427255105049,32,25
336,318.0,573.0,445.5,2,18.484342575073242,18.726285934448242,18.605314254760742,2,0.8094962444504906,22,25
337,612.0,1189.0,962.0,3,17.44926643371582,17.44926643371582,17.44926643371582,1,1.2952154983545563,26,22
338,431.0,492.0,461.5,2,17.166261672973633,17.166261672973633,17.166261672973633,1,0.9355977257189331,21,22
339,568.0,1128.0,840.5,4,16.02626609802246,17.44926643371582,16.71435801188151,3,0.37761882518117684,26,22
340,2355.0,2469.0,2424.5,4,16.667545318603516,16.667545318603516,16.667545318603516,1,0.466723370335867,31,20
341,2338.0,2437.0,2387.5,2,16.667545318603516,16.667545318603516,16.667545318603516,1,0.3323674831377857,31,20
342,2338.0,2338.0,2338.0,1,16.667545318603516,16.667545318603516,16.667545318603516,1,0.1804810681584267,30,20
343,2039.0,2355.0,2197.0,2,16.667545318603516,16.667545318603516,16.667545318603516,1,0.3581658562725941,30,20
344,1548.0,2211.0,1962.3333333333333,3,15.699870109558105,16.667545318603516,16.18370819091797,2,1.2976487993822317,30,20
345,2211.0,2211.0,2211.0,1,15.699870109558105,15.699870109558105,15.699870109558105,1,0.15558341956551366,30,18
346,2211.0,2286.0,2248.5,2,15.699870109558105,15.699870109558105,15.699870109558105,1,0.761448619179955,30,18
